lemma,mood,tense,person,value,status,note
empezar,indicative,pres,1s,empiezo,Mismatch,Esperado: empezo
empezar,indicative,pres,2s_tu,empiezas,Mismatch,Esperado: empezas
empezar,indicative,pres,2s_vos,empezás,Mismatch, | 'accepts' inválido para tu: empiezas (esperado empezas)
empezar,imperative,impAff,2s_tu,empieza,Mismatch,Esperado: empeza
empezar,imperative,impNeg,2s_tu,no empieces,Mismatch,Esperado: no empezes
empezar,imperative,impNeg,2s_vos,no empieces,Mismatch,Esperado: no empezes
empezar,subjunctive,subjPres,2s_tu,empieces,Mismatch,Esperado: empezes
empezar,subjunctive,subjPres,2s_vos,empieces,Mismatch,Esperado: empezes
empezar,indicative,pres,3s,empieza,Mismatch,Esperado: empeza
empezar,indicative,pres,3p,empiezan,Mismatch,Esperado: empezan
empezar,indicative,pretIndef,1s,empecé,Mismatch,Esperado: empezé
empezar,subjunctive,subjImpf,1s,empezara,Unknown-tense,No hay generador para este modo/tiempo
empezar,subjunctive,subjImpf,2s_tu,empezaras,Unknown-tense,No hay generador para este modo/tiempo
empezar,subjunctive,subjImpf,2s_vos,empezaras,Unknown-tense,No hay generador para este modo/tiempo
empezar,subjunctive,subjImpf,3s,empezara,Unknown-tense,No hay generador para este modo/tiempo
empezar,subjunctive,subjImpf,1p,empezáramos,Unknown-tense,No hay generador para este modo/tiempo
empezar,subjunctive,subjImpf,2p_vosotros,empezarais,Unknown-tense,No hay generador para este modo/tiempo
empezar,subjunctive,subjImpf,3p,empezaran,Unknown-tense,No hay generador para este modo/tiempo
empezar,subjunctive,subjPres,1s,empiece,Mismatch,Esperado: empeze
empezar,subjunctive,subjPres,3s,empiece,Mismatch,Esperado: empeze
empezar,subjunctive,subjPres,1p,empecemos,Mismatch,Esperado: empezemos
empezar,subjunctive,subjPres,2p_vosotros,empecéis,Mismatch,Esperado: empezéis
empezar,subjunctive,subjPres,3p,empiecen,Mismatch,Esperado: empezen
empezar,imperative,impAff,3s,empiece,Mismatch,Esperado: empeze
empezar,imperative,impAff,1p,empecemos,Mismatch,Esperado: empezemos
empezar,imperative,impAff,3p,empiecen,Mismatch,Esperado: empezen
empezar,imperative,impNeg,3s,no empiece,Mismatch,Esperado: no empeze
empezar,imperative,impNeg,1p,no empecemos,Mismatch,Esperado: no empezemos
empezar,imperative,impNeg,2p_vosotros,no empecéis,Mismatch,Esperado: no empezéis
empezar,imperative,impNeg,3p,no empiecen,Mismatch,Esperado: no empezen
perder,indicative,pres,1s,pierdo,Mismatch,Esperado: perdo
perder,indicative,pres,2s_tu,pierdes,Mismatch,Esperado: perdes
perder,indicative,pres,2s_vos,perdés,Mismatch, | 'accepts' inválido para tu: pierdes (esperado perdes)
perder,imperative,impAff,2s_tu,pierde,Mismatch,Esperado: perde
perder,imperative,impNeg,2s_tu,no pierdas,Mismatch,Esperado: no perdas
perder,imperative,impNeg,2s_vos,no pierdas,Mismatch,Esperado: no perdas
perder,subjunctive,subjPres,2s_tu,pierdas,Mismatch,Esperado: perdas
perder,subjunctive,subjPres,2s_vos,pierdas,Mismatch,Esperado: perdas
perder,subjunctive,subjImpf,1s,perdara,Unknown-tense,No hay generador para este modo/tiempo
perder,subjunctive,subjImpf,2s_tu,perdaras,Unknown-tense,No hay generador para este modo/tiempo
perder,subjunctive,subjImpf,2s_vos,perdaras,Unknown-tense,No hay generador para este modo/tiempo
perder,subjunctive,subjImpf,3s,perdara,Unknown-tense,No hay generador para este modo/tiempo
perder,subjunctive,subjImpf,1p,perdáramos,Unknown-tense,No hay generador para este modo/tiempo
perder,subjunctive,subjImpf,2p_vosotros,perdarais,Unknown-tense,No hay generador para este modo/tiempo
perder,subjunctive,subjImpf,3p,perdaran,Unknown-tense,No hay generador para este modo/tiempo
perder,subjunctive,subjPres,1s,pierda,Mismatch,Esperado: perda
perder,subjunctive,subjPres,3s,pierda,Mismatch,Esperado: perda
perder,subjunctive,subjPres,3p,pierdan,Mismatch,Esperado: perdan
perder,imperative,impAff,3s,pierda,Mismatch,Esperado: perda
perder,imperative,impAff,3p,pierdan,Mismatch,Esperado: perdan
perder,imperative,impNeg,3s,no pierda,Mismatch,Esperado: no perda
perder,imperative,impNeg,3p,no pierdan,Mismatch,Esperado: no perdan
volver,indicative,pres,1s,vuelvo,Mismatch,Esperado: volvo
volver,indicative,pres,2s_tu,vuelves,Mismatch,Esperado: volves
volver,indicative,pres,2s_vos,volvés,Mismatch, | 'accepts' inválido para tu: vuelves (esperado volves)
volver,imperative,impAff,2s_tu,vuelve,Mismatch,Esperado: volve
volver,imperative,impNeg,2s_tu,no vuelvas,Mismatch,Esperado: no volvas
volver,imperative,impNeg,2s_vos,no vuelvas,Mismatch,Esperado: no volvas
volver,subjunctive,subjPres,2s_tu,vuelvas,Mismatch,Esperado: volvas
volver,subjunctive,subjPres,2s_vos,vuelvas,Mismatch,Esperado: volvas
volver,indicative,pretPerf,1s,he vuelto,Mismatch,Esperado: he volvido
volver,indicative,pretPerf,2s_tu,has vuelto,Mismatch,Esperado: has volvido
volver,indicative,pretPerf,2s_vos,has vuelto,Mismatch,Esperado: has volvido
volver,indicative,pretPerf,3s,ha vuelto,Mismatch,Esperado: ha volvido
volver,indicative,pretPerf,1p,hemos vuelto,Mismatch,Esperado: hemos volvido
volver,indicative,pretPerf,2p_vosotros,habéis vuelto,Mismatch,Esperado: habéis volvido
volver,indicative,pretPerf,3p,han vuelto,Mismatch,Esperado: han volvido
volver,indicative,plusc,1s,había vuelto,Mismatch,Esperado: había volvido
volver,indicative,plusc,2s_tu,habías vuelto,Mismatch,Esperado: habías volvido
volver,indicative,plusc,2s_vos,habías vuelto,Mismatch,Esperado: habías volvido
volver,indicative,plusc,3s,había vuelto,Mismatch,Esperado: había volvido
volver,indicative,plusc,1p,habíamos vuelto,Mismatch,Esperado: habíamos volvido
volver,indicative,plusc,2p_vosotros,habíais vuelto,Mismatch,Esperado: habíais volvido
volver,indicative,plusc,3p,habían vuelto,Mismatch,Esperado: habían volvido
volver,indicative,futPerf,1s,habré vuelto,Mismatch,Esperado: habré volvido
volver,indicative,futPerf,2s_tu,habrás vuelto,Mismatch,Esperado: habrás volvido
volver,indicative,futPerf,2s_vos,habrás vuelto,Mismatch,Esperado: habrás volvido
volver,indicative,futPerf,3s,habrá vuelto,Mismatch,Esperado: habrá volvido
volver,indicative,futPerf,1p,habremos vuelto,Mismatch,Esperado: habremos volvido
volver,indicative,futPerf,2p_vosotros,habréis vuelto,Mismatch,Esperado: habréis volvido
volver,indicative,futPerf,3p,habrán vuelto,Mismatch,Esperado: habrán volvido
volver,conditional,condPerf,1s,habría vuelto,Mismatch,Esperado: habría volvido
volver,conditional,condPerf,2s_tu,habrías vuelto,Mismatch,Esperado: habrías volvido
volver,conditional,condPerf,2s_vos,habrías vuelto,Mismatch,Esperado: habrías volvido
volver,conditional,condPerf,3s,habría vuelto,Mismatch,Esperado: habría volvido
volver,conditional,condPerf,1p,habríamos vuelto,Mismatch,Esperado: habríamos volvido
volver,conditional,condPerf,2p_vosotros,habríais vuelto,Mismatch,Esperado: habríais volvido
volver,conditional,condPerf,3p,habrían vuelto,Mismatch,Esperado: habrían volvido
volver,subjunctive,subjPerf,1s,haya vuelto,Mismatch,Esperado: haya volvido
volver,subjunctive,subjPerf,2s_tu,hayas vuelto,Mismatch,Esperado: hayas volvido
volver,subjunctive,subjPerf,2s_vos,hayas vuelto,Mismatch,Esperado: hayas volvido
volver,subjunctive,subjPerf,3s,haya vuelto,Mismatch,Esperado: haya volvido
volver,subjunctive,subjPerf,1p,hayamos vuelto,Mismatch,Esperado: hayamos volvido
volver,subjunctive,subjPerf,2p_vosotros,hayáis vuelto,Mismatch,Esperado: hayáis volvido
volver,subjunctive,subjPerf,3p,hayan vuelto,Mismatch,Esperado: hayan volvido
volver,subjunctive,subjPlusc,1s,hubiera vuelto,Mismatch,"Esperado: ['hubiera volvido', 'hubiese volvido']"
volver,subjunctive,subjPlusc,2s_tu,hubieras vuelto,Mismatch,"Esperado: ['hubieras volvido', 'hubieses volvido']"
volver,subjunctive,subjPlusc,2s_vos,hubieras vuelto,Mismatch,"Esperado: ['hubieras volvido', 'hubieses volvido']"
volver,subjunctive,subjPlusc,3s,hubiera vuelto,Mismatch,"Esperado: ['hubiera volvido', 'hubiese volvido']"
volver,subjunctive,subjPlusc,1p,hubiéramos vuelto,Mismatch,"Esperado: ['hubiéramos volvido', 'hubiésemos volvido']"
volver,subjunctive,subjPlusc,2p_vosotros,hubierais vuelto,Mismatch,"Esperado: ['hubierais volvido', 'hubieseis volvido']"
volver,subjunctive,subjPlusc,3p,hubieran vuelto,Mismatch,"Esperado: ['hubieran volvido', 'hubiesen volvido']"
volver,indicative,pres,3s,vuelve,Mismatch,Esperado: volve
volver,indicative,pres,3p,vuelven,Mismatch,Esperado: volven
volver,nonfinite,part,,vuelto,Mismatch,Esperado: volvido
volver,subjunctive,subjImpf,1s,volvara,Unknown-tense,No hay generador para este modo/tiempo
volver,subjunctive,subjImpf,2s_tu,volvaras,Unknown-tense,No hay generador para este modo/tiempo
volver,subjunctive,subjImpf,2s_vos,volvaras,Unknown-tense,No hay generador para este modo/tiempo
volver,subjunctive,subjImpf,3s,volvara,Unknown-tense,No hay generador para este modo/tiempo
volver,subjunctive,subjImpf,1p,volváramos,Unknown-tense,No hay generador para este modo/tiempo
volver,subjunctive,subjImpf,2p_vosotros,volvarais,Unknown-tense,No hay generador para este modo/tiempo
volver,subjunctive,subjImpf,3p,volvaran,Unknown-tense,No hay generador para este modo/tiempo
volver,subjunctive,subjPres,1s,vuelva,Mismatch,Esperado: volva
volver,subjunctive,subjPres,3s,vuelva,Mismatch,Esperado: volva
volver,subjunctive,subjPres,3p,vuelvan,Mismatch,Esperado: volvan
volver,imperative,impAff,3s,vuelva,Mismatch,Esperado: volva
volver,imperative,impAff,3p,vuelvan,Mismatch,Esperado: volvan
volver,imperative,impNeg,3s,no vuelva,Mismatch,Esperado: no volva
volver,imperative,impNeg,3p,no vuelvan,Mismatch,Esperado: no volvan
dormir,indicative,pres,1s,duermo,Mismatch,Esperado: dormo
dormir,indicative,pres,2s_tu,duermes,Mismatch,Esperado: dormes
dormir,indicative,pres,2s_vos,dormís,Mismatch, | 'accepts' inválido para tu: duermes (esperado dormes)
dormir,indicative,pres,3s,duerme,Mismatch,Esperado: dorme
dormir,indicative,pres,3p,duermen,Mismatch,Esperado: dormen
dormir,indicative,pretIndef,3s,durmió,Mismatch,Esperado: dormió
dormir,indicative,pretIndef,3p,durmieron,Mismatch,Esperado: dormieron
dormir,imperative,impAff,2s_tu,duerme,Mismatch,Esperado: dorme
dormir,imperative,impNeg,2s_tu,no duermas,Mismatch,Esperado: no dormas
dormir,imperative,impNeg,2s_vos,no duermas,Mismatch,Esperado: no dormas
dormir,subjunctive,subjPres,1s,duerma,Mismatch,Esperado: dorma
dormir,subjunctive,subjPres,2s_tu,duermas,Mismatch,Esperado: dormas
dormir,subjunctive,subjPres,2s_vos,duermas,Mismatch,Esperado: dormas
dormir,subjunctive,subjPres,3s,duerma,Mismatch,Esperado: dorma
dormir,subjunctive,subjPres,1p,durmamos,Mismatch,Esperado: dormamos
dormir,subjunctive,subjPres,2p_vosotros,durmáis,Mismatch,Esperado: dormáis
dormir,subjunctive,subjPres,3p,duerman,Mismatch,Esperado: dorman
dormir,subjunctive,subjImpf,1s,durmiera,Unknown-tense,No hay generador para este modo/tiempo
dormir,subjunctive,subjImpf,2s_tu,durmieras,Unknown-tense,No hay generador para este modo/tiempo
dormir,subjunctive,subjImpf,2s_vos,durmieras,Unknown-tense,No hay generador para este modo/tiempo
dormir,subjunctive,subjImpf,3s,durmiera,Unknown-tense,No hay generador para este modo/tiempo
dormir,subjunctive,subjImpf,1p,durmiéramos,Unknown-tense,No hay generador para este modo/tiempo
dormir,subjunctive,subjImpf,2p_vosotros,durmierais,Unknown-tense,No hay generador para este modo/tiempo
dormir,subjunctive,subjImpf,3p,durmieran,Unknown-tense,No hay generador para este modo/tiempo
dormir,nonfinite,ger,,durmiendo,Mismatch,Esperado: dormiendo
jugar,indicative,pres,1s,juego,Mismatch,Esperado: jugo
jugar,indicative,pres,2s_tu,juegas,Mismatch,Esperado: jugas
jugar,indicative,pres,2s_vos,jugás,Mismatch, | 'accepts' inválido para tu: juegas (esperado jugas)
jugar,imperative,impAff,2s_tu,juega,Mismatch,Esperado: juga
jugar,imperative,impNeg,2s_tu,no juegues,Mismatch,Esperado: no juges
jugar,imperative,impNeg,2s_vos,no juegues,Mismatch,Esperado: no juges
jugar,subjunctive,subjPres,2s_tu,juegues,Mismatch,Esperado: juges
jugar,subjunctive,subjPres,2s_vos,juegues,Mismatch,Esperado: juges
jugar,indicative,pres,3s,juega,Mismatch,Esperado: juga
jugar,indicative,pres,3p,juegan,Mismatch,Esperado: jugan
jugar,indicative,pretIndef,1s,jugué,Mismatch,Esperado: jugé
jugar,subjunctive,subjImpf,1s,jugara,Unknown-tense,No hay generador para este modo/tiempo
jugar,subjunctive,subjImpf,2s_tu,jugaras,Unknown-tense,No hay generador para este modo/tiempo
jugar,subjunctive,subjImpf,2s_vos,jugaras,Unknown-tense,No hay generador para este modo/tiempo
jugar,subjunctive,subjImpf,3s,jugara,Unknown-tense,No hay generador para este modo/tiempo
jugar,subjunctive,subjImpf,1p,jugáramos,Unknown-tense,No hay generador para este modo/tiempo
jugar,subjunctive,subjImpf,2p_vosotros,jugarais,Unknown-tense,No hay generador para este modo/tiempo
jugar,subjunctive,subjImpf,3p,jugaran,Unknown-tense,No hay generador para este modo/tiempo
jugar,subjunctive,subjPres,1s,juegue,Mismatch,Esperado: juge
jugar,subjunctive,subjPres,3s,juegue,Mismatch,Esperado: juge
jugar,subjunctive,subjPres,1p,juguemos,Mismatch,Esperado: jugemos
jugar,subjunctive,subjPres,2p_vosotros,juguéis,Mismatch,Esperado: jugéis
jugar,subjunctive,subjPres,3p,jueguen,Mismatch,Esperado: jugen
jugar,imperative,impAff,3s,juegue,Mismatch,Esperado: juge
jugar,imperative,impAff,1p,juguemos,Mismatch,Esperado: jugemos
jugar,imperative,impAff,3p,jueguen,Mismatch,Esperado: jugen
jugar,imperative,impNeg,3s,no juegue,Mismatch,Esperado: no juge
jugar,imperative,impNeg,1p,no juguemos,Mismatch,Esperado: no jugemos
jugar,imperative,impNeg,2p_vosotros,no juguéis,Mismatch,Esperado: no jugéis
jugar,imperative,impNeg,3p,no jueguen,Mismatch,Esperado: no jugen
pedir,indicative,pres,1s,pido,Mismatch,Esperado: pedo
pedir,indicative,pres,2s_tu,pides,Mismatch,Esperado: pedes
pedir,indicative,pres,2s_vos,pedís,Mismatch, | 'accepts' inválido para tu: pides (esperado pedes)
pedir,indicative,pres,3s,pide,Mismatch,Esperado: pede
pedir,indicative,pres,3p,piden,Mismatch,Esperado: peden
pedir,indicative,pretIndef,3s,pidió,Mismatch,Esperado: pedió
pedir,indicative,pretIndef,3p,pidieron,Mismatch,Esperado: pedieron
pedir,imperative,impAff,2s_tu,pide,Mismatch,Esperado: pede
pedir,imperative,impNeg,2s_tu,no pidas,Mismatch,Esperado: no pedas
pedir,imperative,impNeg,2s_vos,no pidas,Mismatch,Esperado: no pedas
pedir,subjunctive,subjPres,1s,pida,Mismatch,Esperado: peda
pedir,subjunctive,subjPres,2s_tu,pidas,Mismatch,Esperado: pedas
pedir,subjunctive,subjPres,2s_vos,pidas,Mismatch,Esperado: pedas
pedir,subjunctive,subjPres,3s,pida,Mismatch,Esperado: peda
pedir,subjunctive,subjPres,1p,pidamos,Mismatch,Esperado: pedamos
pedir,subjunctive,subjPres,2p_vosotros,pidáis,Mismatch,Esperado: pedáis
pedir,subjunctive,subjPres,3p,pidan,Mismatch,Esperado: pedan
pedir,subjunctive,subjImpf,1s,pidiera,Unknown-tense,No hay generador para este modo/tiempo
pedir,subjunctive,subjImpf,2s_tu,pidieras,Unknown-tense,No hay generador para este modo/tiempo
pedir,subjunctive,subjImpf,2s_vos,pidieras,Unknown-tense,No hay generador para este modo/tiempo
pedir,subjunctive,subjImpf,3s,pidiera,Unknown-tense,No hay generador para este modo/tiempo
pedir,subjunctive,subjImpf,1p,pidiéramos,Unknown-tense,No hay generador para este modo/tiempo
pedir,subjunctive,subjImpf,2p_vosotros,pidierais,Unknown-tense,No hay generador para este modo/tiempo
pedir,subjunctive,subjImpf,3p,pidieran,Unknown-tense,No hay generador para este modo/tiempo
pedir,nonfinite,ger,,pidiendo,Mismatch,Esperado: pediendo
pedir,imperative,impAff,3s,pida,Mismatch,Esperado: peda
pedir,imperative,impAff,1p,pidamos,Mismatch,Esperado: pedamos
